von,nach,abflug,ankunft,preis,stops,fluglinie
VIE,SVQ,16:00,22:15,"103,13 €",1 Stopp,Vueling
VIE,SVQ,12:55,12:50,"108,12 €",1 Stopp,Swiss International Air Lines
VIE,SVQ,09:45,12:50,"108,12 €",1 Stopp,Swiss International Air Lines
VIE,SVQ,15:10,22:15,"127,13 €",1 Stopp,Vueling
VIE,SVQ,15:10,23:55,"127,13 €",1 Stopp,Vueling
VIE,SVQ,12:55,12:50,"138,12 €",1 Stopp,Swiss International Air Lines
VIE,SVQ,09:45,12:50,"138,12 €",1 Stopp,Swiss International Air Lines
VIE,SVQ,12:20,21:05,"140,68 €",1 Stopp,Iberia Airlines
VIE,SVQ,19:40,08:40,"140,68 €",1 Stopp,Iberia Airlines
VIE,SVQ,10:10,15:30,"140,76 €",1 Stopp,Vueling
VIE,SVQ,10:10,17:30,"140,76 €",1 Stopp,Vueling
VIE,SVQ,10:10,19:15,"140,76 €",1 Stopp,Vueling
VIE,SVQ,10:10,22:15,"140,76 €",1 Stopp,Vueling
VIE,SVQ,07:00,12:50,"155,62 €",1 Stopp,Swiss International Air Lines
VIE,SVQ,19:40,12:35,"178,34 €",1 Stopp,Iberia Airlines
